category,n_components,trustworthiness,n_clusters,n_noise,noise_pct,silhouette
cs.AI,2,0.9101268807325744,122,2369,32.14818835662912,0.5498625636100769
cs.AI,5,0.9522204981043427,130,3081,41.810286334645134,0.6357285976409912
cs.AI,10,0.9532674714474046,122,2932,39.78830234767268,0.624555230140686
cs.AI,15,0.9531613014350631,123,2794,37.91559234631565,0.5989101529121399
cs.AI,20,0.9537050161854804,119,2812,38.15985886823178,0.6066964864730835
cs.LG,2,0.9260186638663155,159,3057,28.44779452819654,0.5906690955162048
cs.LG,5,0.9620271696153452,153,3550,33.03554811092499,0.6294175386428833
cs.LG,10,0.9644056728436631,149,3651,33.975432719151314,0.6338986754417419
cs.LG,15,0.9648859086761552,154,3414,31.76996091568956,0.6291301846504211
cs.LG,20,0.9646257625885005,159,3619,33.67764749674297,0.6358678340911865
cs.IR,2,0.8882384193366974,55,1032,33.55006501950585,0.5818726420402527
cs.IR,5,0.9234437734967177,52,1024,33.28998699609883,0.5841459035873413
cs.IR,10,0.9288792948617198,57,1108,36.02080624187256,0.5488881468772888
cs.IR,15,0.9284398967468382,48,1165,37.8738621586476,0.5693729519844055
cs.IR,20,0.9297405282290004,56,1201,39.044213263979195,0.602211058139801
cs.DB,2,0.9102171710093371,35,439,28.655352480417754,0.6443695425987244
cs.DB,5,0.932661184041674,30,510,33.28981723237598,0.644973635673523
cs.DB,10,0.935369563875811,30,565,36.8798955613577,0.6575806736946106
cs.DB,15,0.9357607473811036,29,456,29.765013054830288,0.5895865559577942
cs.DB,20,0.9345112671807854,29,514,33.5509138381201,0.6137380003929138
cs.SE,2,0.89757288194915,53,722,31.65278386672512,0.6305021643638611
cs.SE,5,0.9288516696184848,55,800,35.072336694432266,0.6605195999145508
cs.SE,10,0.9314629769781485,55,794,34.809294169224025,0.638824462890625
cs.SE,15,0.9305132694611926,52,749,32.83647523016221,0.6056978106498718
cs.SE,20,0.9296865144561426,53,780,34.19552827707146,0.6335915327072144
